"","time","close","high","low","open","volumefrom","volumeto"
"168",2017-12-25 20:44:00,2029500,2032000,2029017,2029054,34.999783,71048380
"169",2017-12-25 20:45:00,2029614,2029990,2027000,2029093,31.749815,64406964
"170",2017-12-25 20:46:00,2030000,2039999,2030000,2037050,67.76649,137905810
"171",2017-12-25 20:47:00,2037050,2041799,2030999,2035689,76.66477,156187440
"172",2017-12-25 20:48:00,2037000,2037476,2031000,2032226,62.560696,127196490
"173",2017-12-25 20:49:00,2033198,2033999,2029710,2030261,31.165554,63327370
"174",2017-12-25 20:50:00,2030261,2030998,2027000,2029311,38.319923,77748300
"175",2017-12-25 20:51:00,2029311,2029993,2027581,2027600,28.560265,57930396
"176",2017-12-25 20:52:00,2027830,2029498,2025500,2028998,68.79219,139479870
"177",2017-12-25 20:53:00,2028998,2030000,2025139,2029064,34.77955,70506190
"178",2017-12-25 20:54:00,2029361,2029361,2023700,2025059,48.45033,98129464
"179",2017-12-25 20:55:00,2026799,2027200,2025013,2026000,22.55261,45693910
"180",2017-12-25 20:56:00,2026000,2029799,2025498,2025498,40.53561,82135760
"181",2017-12-25 20:57:00,2027696,2027696,2023000,2024000,80.71722,163440260
"182",2017-12-25 20:58:00,2024201,2025399,2021000,2022824,60.782303,122975016
"183",2017-12-25 20:59:00,2022148,2023144,2021100,2022520,45.200516,91415220
"184",2017-12-25 21:00:00,2022520,2023943,2021000,2023001,39.13207,79150480
"185",2017-12-25 21:01:00,2023001,2023437,2020111,2022790,60.157776,121637736
"186",2017-12-25 21:02:00,2022791,2025999,2021200,2025998,30.479336,61678388
"187",2017-12-25 21:03:00,2024998,2028838,2024522,2028062,39.944866,80956320
"188",2017-12-25 21:04:00,2027675,2029131,2027392,2028434,40.876625,82904424
"189",2017-12-25 21:05:00,2028587,2028900,2022580,2024600,57.03849,115489950
"190",2017-12-25 21:06:00,2025000,2026000,2021000,2023001,60.634174,122712264
"191",2017-12-25 21:07:00,2022500,2026000,2022500,2026000,32.761875,66329628
"192",2017-12-25 21:08:00,2026001,2031628,2026000,2029035,44.958153,91220580
"193",2017-12-25 21:09:00,2029124,2032200,2025202,2029000,68.23603,138448290
"194",2017-12-25 21:10:00,2027468,2029710,2027467,2029619,11.831783,24003432
"195",2017-12-25 21:11:00,2028600,2029617,2025503,2027001,21.740677,44096896
"196",2017-12-25 21:12:00,2027350,2030000,2027001,2028691,55.523594,112673016
"197",2017-12-25 21:13:00,2028717,2029500,2027001,2028633,24.626873,49952370
"198",2017-12-25 21:14:00,2029000,2031000,2028788,2030271,31.9379,64830588
"199",2017-12-25 21:15:00,2030501,2031122,2023401,2027718,49.510056,100382344
"200",2017-12-25 21:16:00,2027985,2027985,2023557,2026699,21.178602,42897864
"201",2017-12-25 21:17:00,2026498,2026699,2023328,2025769,33.36394,67564650
"202",2017-12-25 21:18:00,2025769,2028000,2025380,2027125,17.880068,36242416
"203",2017-12-25 21:19:00,2027077,2027500,2025901,2026361,12.365656,25064180
"204",2017-12-25 21:20:00,2026363,2027500,2026077,2026927,16.48397,33413478
"205",2017-12-25 21:21:00,2026928,2027500,2026077,2026652,25.278732,51233260
"206",2017-12-25 21:22:00,2026652,2027060,2022582,2024496,30.342335,61438892
"207",2017-12-25 21:23:00,2023810,2024997,2020001,2022517,41.49632,83925256
"208",2017-12-25 21:24:00,2021459,2023903,2020002,2022502,41.121925,83144070
"209",2017-12-25 21:25:00,2021610,2028991,2020410,2028991,46.420982,93953940
"210",2017-12-25 21:26:00,2025666,2028991,2024600,2026999,31.950695,64768588
"211",2017-12-25 21:27:00,2026876,2033010,2026503,2032700,109.1698,221712500
"212",2017-12-25 21:28:00,2032000,2033009,2027144,2030251,90.54847,183830020
"213",2017-12-25 21:29:00,2030890,2030890,2026073,2030001,36.781036,74602610
"214",2017-12-25 21:30:00,2030001,2030001,2027161,2028886,43.28814,87817160
"215",2017-12-25 21:31:00,2029001,2030000,2027160,2030000,35.87082,72792856
"216",2017-12-25 21:32:00,2030000,2033100,2026802,2033000,70.25133,142645730
"217",2017-12-25 21:33:00,2033100,2037777,2025500,2033000,109.87149,223379780
"218",2017-12-25 21:34:00,2034050,2035000,2028000,2034002,95.582054,194246530
"219",2017-12-25 21:35:00,2033002,2034999,2029267,2033200,100.16814,203683700
"220",2017-12-25 21:36:00,2033499,2033968,2027996,2029036,103.665054,210474880
"221",2017-12-25 21:37:00,2029036,2033488,2028510,2031000,51.567787,104720390
"222",2017-12-25 21:38:00,2031000,2031999,2029000,2030900,46.86387,95134970
"223",2017-12-25 21:39:00,2030900,2031800,2028000,2031469,31.717478,64394170
"224",2017-12-25 21:40:00,2031469,2031525,2028000,2030000,30.730051,62362604
"225",2017-12-25 21:41:00,2029000,2030776,2029000,2030318,32.497494,65967012
"226",2017-12-25 21:42:00,2030300,2032980,2030002,2031360,65.54424,133166536
"227",2017-12-25 21:43:00,2031658,2033500,2030000,2033500,106.97652,217341300
"228",2017-12-25 21:44:00,2032698,2034000,2031200,2031799,41.17161,83679210
"229",2017-12-25 21:45:00,2032184,2033775,2030000,2030379,61.272194,124490180
"230",2017-12-25 21:46:00,2030278,2033200,2030200,2032467,42.27779,85905790
"231",2017-12-25 21:47:00,2032150,2034000,2031111,2033713,46.149136,93807220
"232",2017-12-25 21:48:00,2033213,2034000,2032000,2033800,51.037575,103755020
"233",2017-12-25 21:49:00,2033002,2035653,2033000,2035653,45.650837,92855590
"234",2017-12-25 21:50:00,2033873,2044560,2033873,2042000,64.415565,131453820
"235",2017-12-25 21:51:00,2043996,2047000,2043250,2047000,70.3797,143920100
"236",2017-12-25 21:52:00,2046441,2049340,2046076,2048080,84.2906,172602620
"237",2017-12-25 21:53:00,2048080,2049340,2047001,2048989,72.03742,147560750
"238",2017-12-25 21:54:00,2048998,2048998,2044000,2046000,85.13414,174267360
"239",2017-12-25 21:55:00,2045001,2048401,2044000,2048245,70.32789,143944240
"240",2017-12-25 21:56:00,2047400,2048399,2041460,2044072,54.84032,112140340
"241",2017-12-25 21:57:00,2042351,2044499,2041460,2042000,53.91406,110119944
"242",2017-12-25 21:58:00,2043999,2044000,2038700,2038700,51.94259,106019040
"243",2017-12-25 21:59:00,2039100,2039990,2035000,2036388,50.116234,102120780
"244",2017-12-25 22:00:00,2036100,2041212,2035300,2040000,72.84326,148487180
"245",2017-12-25 22:01:00,2040050,2042000,2036780,2038555,64.26014,131108180
"246",2017-12-25 22:02:00,2038000,2039990,2038000,2039699,27.018572,55097612
"247",2017-12-25 22:03:00,2039002,2039699,2036620,2036620,33.743084,68777020
"248",2017-12-25 22:04:00,2036678,2037200,2030508,2032000,61.025707,124057650
"249",2017-12-25 22:05:00,2033639,2037500,2032501,2035700,57.570995,117149710
"250",2017-12-25 22:06:00,2035701,2037000,2032222,2035010,37.32191,75938110
"251",2017-12-25 22:07:00,2035000,2040000,2034000,2040000,52.923027,107822440
"252",2017-12-25 22:08:00,2040000,2040996,2037529,2037529,36.45571,74361070
"253",2017-12-25 22:09:00,2037529,2039970,2037000,2038350,31.558956,64335050
"254",2017-12-25 22:10:00,2037151,2038358,2035000,2036358,41.32569,84171910
"255",2017-12-25 22:11:00,2036041,2036475,2034000,2035799,33.355507,67874280
"256",2017-12-25 22:12:00,2035374,2038848,2034000,2035024,39.40335,80207880
"257",2017-12-25 22:13:00,2035024,2038000,2034080,2036181,32.741714,66657628
"258",2017-12-25 22:14:00,2035500,2036000,2029841,2030878,61.19818,124398520
"259",2017-12-25 22:15:00,2031312,2031710,2028888,2028988,64.82536,131588370
"260",2017-12-25 22:16:00,2028889,2036346,2028888,2036346,56.845497,115546400
"261",2017-12-25 22:17:00,2035230,2037315,2035000,2036342,52.221394,106320250
"262",2017-12-25 22:18:00,2035990,2036780,2034002,2034002,54.20188,110322740
"263",2017-12-25 22:19:00,2034176,2036700,2032600,2035201,45.177498,91932650
"264",2017-12-25 22:20:00,2035358,2035999,2032424,2034429,32.28907,65703880
"265",2017-12-25 22:21:00,2034222,2035541,2027800,2032000,85.11042,172851090
"266",2017-12-25 22:22:00,2031800,2031901,2025980,2025999,46.740738,94777040
"267",2017-12-25 22:23:00,2026162,2030000,2024550,2026100,84.03487,170326860
"268",2017-12-25 22:24:00,2027000,2033000,2026023,2028351,59.344994,120418760
"269",2017-12-25 22:25:00,2028351,2030000,2027000,2028480,29.527645,59876180
